"StichtagDat","StichtagDatJahr","StichtagDatMM","DatenstandCd","HundenameText","GebHundDatJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2024-12-31,2024,12,"D","Lukas (Ilido von der Brausmatt)",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Pöti",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Mirella",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","REMI",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Leo",2022,"1","männlich",1,3
2024-12-31,2024,12,"D","Raya Zoe",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Moggi",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Ringo",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Luni",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rocky",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Monty",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Rotfuchs Anju vom Sünneli",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Little Bullys of the Khordad Ace",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Runa",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Murphy",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Sampei",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Macchietta",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Schura",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nala Siobhan",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Shannon",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lea",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sigi ex-Onyx of Flying Curls",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Nella",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sissy",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mala",2018,"2","weiblich",2,2
2024-12-31,2024,12,"D","Snow",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Newy",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Spoke",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Lolly",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Suki of Little Snow Bears",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nino",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Swiss Mountain Fozzie Bear",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Marieta",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tana",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nova Niyaha Nahimana Stella",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Teodolinda",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lielou",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tiffany's Waikiki",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Odin",2023,"1","männlich",1,2
2024-12-31,2024,12,"D","Tinto",2012,"1","männlich",1,1
2024-12-31,2024,12,"D","Matthos",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Toni",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Oreo",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Tuck",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Lou",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ulisse",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Otto",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Vasco",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Mayla",2019,"2","weiblich",2,2
2024-12-31,2024,12,"D","Vitus",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Pam",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","White",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Witiko",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Patchouli de Soleure",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Yana",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Merlin",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Yuki Soda",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pelayo",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Zarinka`s Polo Lio",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Lucki",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ziva",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pesca",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","busika",2012,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mike",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Picsou",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Mila",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pipa",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lenny",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pippo",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Milo",2020,"1","männlich",1,3
2024-12-31,2024,12,"D","Plume",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lugano",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Pom Pom",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mimi",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Priamo",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Linda",2012,"2","weiblich",2,3
2024-12-31,2024,12,"D","Punky",2008,"1","männlich",1,1
2024-12-31,2024,12,"D","Minou",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Queen",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lulu",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Quique",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Mischa",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ragusa vom Grafenfels",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lauri",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rascal",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Mocca Melano",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rena",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Luna",2015,"2","weiblich",2,5
2024-12-31,2024,12,"D","Rigel",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Moka",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Riu",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lion",2010,"1","männlich",1,1
2024-12-31,2024,12,"D","Rocky",2006,"1","männlich",1,1
2024-12-31,2024,12,"D","Mona",2020,"2","weiblich",2,2
2024-12-31,2024,12,"D","Rommy",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lupo",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Rose",2012,"2","weiblich",2,1
2024-12-31,2024,12,"D","Morpheus",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Roxy",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Leonardo",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Rudi",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Muhlifain Dedicated to High Five Leo",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","SOLO",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","MILO",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Samantha",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mylo",2020,"1","männlich",1,2
2024-12-31,2024,12,"D","Sancho Panza",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Loba",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sawa",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nairobi",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Scotty",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Maggie",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Seth von der Brausmatt",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Nandi Duang gong",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Shelby vom Ricken",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lando",2019,"1","männlich",1,2
2024-12-31,2024,12,"D","Shiva",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nayla",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Simba",2010,"1","männlich",1,1
2024-12-31,2024,12,"D","Maira",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Siria",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nemo",2024,"1","männlich",1,2
2024-12-31,2024,12,"D","Sky",2010,"1","männlich",1,1
2024-12-31,2024,12,"D","Lola",2018,"2","weiblich",2,2
2024-12-31,2024,12,"D","Snoop vom Bachtel",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nero",2023,"1","männlich",1,2
2024-12-31,2024,12,"D","Song B",2008,"1","männlich",1,1
2024-12-31,2024,12,"D","Malika",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Speedy",2013,"1","männlich",1,2
2024-12-31,2024,12,"D","Niika",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Stella",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Leyla",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Stubbi",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nina",2008,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sunny",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mantis aka Goma",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Swagger",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Noa",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Szofi",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lorenzo",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Taka",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nora von der Aareblumen",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tarwen",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mars",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Teddy vom Ammeler Forst",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nunki (Rastou)",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Texie",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Leila",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ti-Lou",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Océan Amlou",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tilla",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mashona Farida Suki Niara",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Timo",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Oli-Benno",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Toby",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Lottie",2023,"2","weiblich",2,3
2024-12-31,2024,12,"D","Tom",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Oni",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Toshi",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Max",2016,"1","männlich",1,2
2024-12-31,2024,12,"D","Trudi",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Orso",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Tuvi",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Lilli",2010,"2","weiblich",2,1
2024-12-31,2024,12,"D","U Corsu",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Otis",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Uni",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","May",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Valea Verona von den chihuahua",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","PEPA",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Venice Nina",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Louis",2014,"1","männlich",1,2
2024-12-31,2024,12,"D","Vinny",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Paco vom Holzbrünneli",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Wagner",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Medo",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Welpe Gioia",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pancho",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Willi-Wilson",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Winnie",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Pascha",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Wuschel",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Melody",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Xuf",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Paula",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ybsy",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Luana",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","You are made for me Paco of Greenriver",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Pebble",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Yumos",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Meyla",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Zachii",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Penny",2021,"2","weiblich",2,2
2024-12-31,2024,12,"D","Zeko",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Lilou",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ziggy",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Pepsi",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Zola",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mico",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Zula",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Phoebe",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","lara",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lucky",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","von den Windelfen (Duke Desmond)",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Mila",2010,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pina",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lucy",2008,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pino",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Miley",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Piper",2012,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lasi",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pippa",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Milly",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pisco",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Lucy von der Brausmatt",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pixie",2023,"2","weiblich",2,2
2024-12-31,2024,12,"D","Milo Panda",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Pochinha",2012,"2","weiblich",2,1
2024-12-31,2024,12,"D","Limecastle's Quiro",2012,"1","männlich",1,1
2024-12-31,2024,12,"D","Polly Lumi",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Milton",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Pongo",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Luis",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Prada",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mimica",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Princess",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Leo",2013,"1","männlich",1,3
2024-12-31,2024,12,"D","Puffy",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Minnie",2020,"2","weiblich",2,3
2024-12-31,2024,12,"D","Purple arrow's Nayeli",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lula",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Quana of Black-Devils",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mira",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Quencin-cio-luno",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Link",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Quinn",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Miro",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Quolin-Frido",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Lulu Xana vom Egelsee",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Radon",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Miss Coco Chanel",2023,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rambo",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Lana",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Randy",2008,"1","männlich",1,1
2024-12-31,2024,12,"D","Mix",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Ravi",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Lumpi",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Reggae",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Mochi",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Rey",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Lio",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Ricky, Rock'n Roll",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Mogyi",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Riley",2020,"2","weiblich",2,2
2024-12-31,2024,12,"D","Luna",2023,"2","weiblich",2,6
2024-12-31,2024,12,"D","Rio",2021,"1","männlich",1,2
2024-12-31,2024,12,"D","Molly",2018,"2","weiblich",2,1
2024-12-31,2024,12,"D","Roan",2018,"1","männlich",1,1
2024-12-31,2024,12,"D","Leon",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Rocco (Ready Steady Go of Resin Farm",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Momo",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Rocky",2015,"1","männlich",1,2
2024-12-31,2024,12,"D","Lupi",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Romeo",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Monte Cristo",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Ronja-Zita vom Chaschtele-Blick",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lisa",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rosa",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mora",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rosina",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lupo (Cute Goblins Mr. Pink)",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Roxburgh's Robby",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Mowgli",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Rubel (Ondy von Bolonka Kunterbunt)",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Layla",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ruby",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Muffin",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rufus",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Lázár",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Räubersohn Koda vom Thungschne",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Mura",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Safira",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Liza",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sam",2013,"1","männlich",1,2
2024-12-31,2024,12,"D","My Family Botswana Toni",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sammy",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Mabell's Dusty",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Samy",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Mü",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Santi",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Less Enzo vom Luäg is Land",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Saro",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Nacho",2023,"1","männlich",1,3
2024-12-31,2024,12,"D","Schiza",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Macy",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Scooby",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Nala",2018,"2","weiblich",2,2
2024-12-31,2024,12,"D","Sean",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Loco",2020,"1","männlich",1,2
2024-12-31,2024,12,"D","Seppi",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Namida",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Shakira",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Magnolia Gardens Camino",2024,"1","männlich",1,1
2024-12-31,2024,12,"D","Shaya",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nany",2011,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sherlock",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Laika",2020,"2","weiblich",2,2
2024-12-31,2024,12,"D","Shirko",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Navy",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Sid",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Mailo",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Silken Arrow Winnetou",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Negrita",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Simba",2020,"1","männlich",1,4
2024-12-31,2024,12,"D","Lokii",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Sir Milton McLewis 3rd",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Nelo",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Siska",2012,"2","weiblich",2,1
2024-12-31,2024,12,"D","Maja",2017,"2","weiblich",2,1
